num_rounds,local_epochs,budget,seed,spearman_rho,pearson_r,rmse,auroc,test_acc,fl_total_sec,shapley_sec,shapley_overhead_pct
10,25,250,42,0.3000,0.9647,0.0656,1.0000,0.2745,3574.7,2.44,0.07
10,25,250,123,0.4000,0.8955,0.0729,1.0000,0.2486,3530.6,2.14,0.06
10,25,250,456,0.3000,0.7870,0.1260,1.0000,0.2652,3518.0,2.14,0.06
25,10,250,42,0.7000,0.9180,0.1523,1.0000,0.2995,3530.7,5.22,0.15
25,10,250,123,0.7000,0.6918,0.1709,1.0000,0.2545,3545.2,5.25,0.15
25,10,250,456,0.5000,0.6510,0.1782,1.0000,0.3383,3552.1,5.23,0.15
50,5,250,42,0.8000,0.8025,0.4116,1.0000,0.2351,3613.5,10.52,0.30
50,5,250,123,0.9000,0.9747,0.3775,1.0000,0.1956,3601.8,10.43,0.30
50,5,250,456,0.1000,0.9666,0.3525,1.0000,0.2255,3610.9,10.84,0.31
125,2,250,42,0.9000,0.9591,1.4312,1.0000,0.2538,3778.6,26.04,0.74
125,2,250,123,0.3000,0.7438,1.4287,1.0000,0.2280,3794.5,26.34,0.74
125,2,250,456,0.7000,0.9020,1.1895,1.0000,0.2822,3728.6,27.05,0.78
250,1,250,42,0.7000,0.2457,3.0112,1.0000,0.2733,4070.6,52.29,1.47
250,1,250,123,0.3000,0.8775,2.5860,1.0000,0.2363,4047.0,52.03,1.47
250,1,250,456,0.7000,0.9216,2.7233,1.0000,0.1997,4018.7,54.01,1.55
